cid,mw,polararea,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,binary_fingerprints
11304743,422.4,138.0,1.6,31,2,9,5,[1. 1. 1. ... 1. 0. 1.]
11450633,339.4,93.7,0.6,25,1,5,3,[1. 0. 0. ... 1. 0. 1.]
11467166,564.6,112.0,0.0,34,1,7,10,[0. 1. 0. ... 0. 1. 1.]
11499245,151.93,29.5,0.0,11,1,3,0,[0. 0. 0. ... 0. 0. 0.]
11501341,358.4,39.7,4.2,26,1,5,12,[0. 0. 0. ... 0. 0. 1.]
11504294,502.5,175.0,0.0,36,6,10,9,[0. 1. 0. ... 0. 0. 1.]
11519069,508.5,29.5,0.0,33,1,3,8,[0. 0. 1. ... 0. 1. 1.]
11556711,719.9,159.0,4.7,52,4,8,20,[0. 1. 0. ... 1. 1. 1.]
11561674,460.5,128.0,1.8,32,1,7,8,[1. 1. 0. ... 1. 1. 1.]
11593706,211.64,96.1,0.0,13,3,5,2,[0. 0. 0. ... 0. 0. 1.]
11597697,455.6,207.0,0.0,29,5,9,8,[0. 0. 0. ... 0. 0. 1.]
11626560,450.3,78.0,3.7,30,2,6,5,[1. 1. 1. ... 1. 0. 1.]
11658859,250.16,13.0,0.0,15,3,2,0,[0. 0. 0. ... 0. 0. 1.]
11672461,957.9,269.0,0.0,55,0,17,18,[0. 1. 0. ... 0. 1. 1.]
11672602,1237.5,376.0,9.0,85,10,19,54,[1. 1. 1. ... 0. 1. 1.]
11707110,615.4,102.0,3.4,37,2,6,5,[1. 1. 1. ... 1. 1. 1.]
11947681,215.94,137.0,0.0,13,0,12,0,[0. 0. 0. ... 0. 0. 0.]
11949646,450.9,109.0,2.0,31,4,7,6,[1. 0. 0. ... 0. 1. 0.]
11979316,2140.5,991.0,0.0,148,27,32,38,[0. 1. 1. ... 0. 1. 1.]
13559281,433.6,57.6,2.9,32,1,4,3,[0. 0. 0. ... 0. 0. 1.]
14476155,324.4,62.4,3.4,24,1,4,3,[1. 1. 0. ... 0. 0. 1.]
15950376,273.32,73.4,3.8,19,2,5,2,[1. 1. 0. ... 0. 1. 1.]
15951529,464.4,109.0,3.6,32,1,8,3,[1. 1. 0. ... 0. 0. 1.]
16004692,588.3,137.0,3.7,32,2,10,11,[1. 1. 1. ... 0. 1. 1.]
16019977,236.42,0.0,0.0,2,0,0,0,[0. 0. 0. ... 0. 0. 0.]
