cid,mw,polararea,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,binary_fingerprints
2519,194.19,58.4,-0.1,14,0,3,0,[1. 1. 0. ... 0. 0. 1.]
2520,454.6,64.0,3.8,33,0,6,13,[0. 0. 0. ... 0. 1. 1.]
2540,610.7,143.0,7.0,45,1,10,13,[1. 1. 0. ... 0. 0. 0.]
2541,440.5,119.0,4.1,33,2,7,7,[1. 1. 0. ... 0. 0. 0.]
2551,147.2,52.3,-0.4,10,1,2,4,[0. 0. 0. ... 0. 0. 1.]
2554,236.27,46.3,2.5,18,1,1,0,[0. 0. 0. ... 1. 0. 1.]
2564,290.79,25.4,2.9,20,0,3,6,[1. 0. 0. ... 0. 1. 1.]
2576,260.329,90.6,1.9,18,2,4,9,[0. 0. 0. ... 0. 0. 1.]
2578,214.05,61.8,1.5,12,1,3,4,[0. 0. 0. ... 0. 0. 1.]
2583,292.37,70.6,1.0,21,3,4,6,[0. 0. 0. ... 0. 0. 1.]
2585,406.5,75.7,4.2,30,3,5,10,[1. 0. 1. ... 0. 0. 1.]
2610,363.4,158.0,-2.1,25,4,7,4,[0. 1. 0. ... 1. 0. 1.]
2617,453.5,238.0,0.3,29,1,12,6,[0. 1. 0. ... 1. 0. 1.]
2662,381.4,86.4,3.4,26,1,7,3,[1. 1. 1. ... 1. 0. 1.]
2663,379.5,90.9,1.9,27,3,5,10,[0. 0. 0. ... 0. 0. 1.]
2678,388.9,53.0,1.7,27,1,5,8,[0. 0. 0. ... 0. 0. 1.]
2708,304.2,40.5,1.7,19,1,3,9,[0. 0. 0. ... 0. 0. 1.]
2712,299.75,48.2,2.4,21,1,3,1,[1. 1. 0. ... 1. 1. 1.]
2719,319.9,28.2,4.6,22,1,3,8,[1. 0. 0. ... 0. 0. 1.]
2720,295.7,135.0,-0.2,17,2,6,1,[0. 0. 1. ... 0. 0. 1.]
2725,274.79,16.1,3.4,19,0,2,5,[1. 0. 0. ... 0. 1. 1.]
2726,318.9,31.8,5.2,21,0,3,4,[0. 0. 1. ... 1. 1. 1.]
2727,276.74,83.6,2.3,17,2,3,4,[0. 0. 1. ... 0. 0. 1.]
2732,338.8,118.0,0.9,22,3,5,2,[1. 1. 1. ... 1. 0. 1.]
2733,169.56,38.3,1.8,11,1,2,0,[1. 0. 0. ... 0. 0. 1.]
2749,207.27,40.5,2.0,15,1,2,1,[1. 0. 0. ... 0. 0. 1.]
2754,369.5,81.9,3.1,27,1,5,7,[0. 1. 0. ... 1. 1. 1.]
2756,252.34,114.0,0.4,17,3,4,7,[1. 0. 0. ... 0. 0. 1.]
2762,262.22,88.4,2.1,19,1,7,2,[1. 0. 1. ... 1. 0. 1.]
2764,331.34,72.9,-1.1,24,2,7,3,[1. 1. 0. ... 0. 0. 1.]
2767,298.03,2.0,0.0,5,2,2,0,[0. 0. 0. ... 0. 0. 0.]
2771,324.4,36.3,3.2,24,0,4,5,[0. 1. 0. ... 0. 1. 1.]
2789,300.74,40.6,2.1,21,0,2,1,[0. 0. 1. ... 1. 1. 1.]
2794,473.4,40.0,7.1,33,1,4,4,[1. 1. 1. ... 0. 1. 1.]
2801,314.9,6.5,5.2,22,0,2,4,[0. 0. 1. ... 0. 1. 1.]
2802,315.71,87.3,2.4,22,1,4,1,[1. 0. 1. ... 0. 0. 1.]
2803,230.09,36.4,1.6,14,2,1,2,[0. 0. 0. ... 0. 0. 1.]
2809,314.72,78.8,3.3,22,2,4,2,[1. 0. 1. ... 0. 0. 1.]
2812,344.8,17.8,5.0,25,0,1,4,[0. 0. 0. ... 0. 0. 0.]
2881,466.3,172.0,3.2,34,1,11,6,[0. 1. 0. ... 1. 1. 1.]
2895,275.4,3.2,5.2,21,0,1,3,[1. 1. 0. ... 0. 0. 1.]
2905,291.4,49.8,2.7,21,1,4,7,[1. 1. 1. ... 0. 1. 1.]
2907,261.079,41.6,0.6,14,1,4,5,[0. 0. 0. ... 1. 0. 1.]
2913,287.4,3.2,4.7,22,0,1,0,[1. 1. 0. ... 0. 0. 1.]
2955,248.3,94.6,1.0,17,2,4,2,[0. 0. 0. ... 0. 0. 0.]
2972,139.15,40.5,0.5,10,1,3,0,[1. 0. 0. ... 0. 0. 0.]
2973,560.7,206.0,-2.1,39,6,9,23,[0. 1. 0. ... 0. 0. 1.]
2995,266.4,15.3,4.9,20,1,2,4,[0. 0. 1. ... 0. 1. 1.]
3007,135.21,26.0,1.8,10,1,1,2,[0. 0. 0. ... 0. 0. 1.]
3009,182.17,89.3,-2.9,12,3,6,5,[0. 0. 0. ... 0. 0. 1.]
3016,284.74,32.7,3.0,20,0,2,1,[1. 0. 1. ... 0. 0. 1.]
3019,230.67,66.9,1.2,14,1,3,0,[0. 0. 1. ... 0. 0. 1.]
3032,295.1,52.2,5.0,19,1,3,3,[0. 0. 0. ... 0. 0. 0.]
3038,305.2,137.0,0.3,16,2,6,2,[0. 0. 1. ... 0. 0. 1.]
3042,309.5,29.5,5.5,22,0,3,8,[0. 0. 1. ... 0. 0. 1.]
3053,393.35,196.0,-8.5,27,5,13,16,[0. 0. 0. ... 0. 0. 1.]
3059,250.2,57.5,4.4,18,2,5,2,[0. 1. 0. ... 0. 0. 0.]
3080,124.23,22.2,0.2,6,3,3,2,[0. 0. 0. ... 0. 0. 0.]
3100,255.35,12.5,3.3,19,0,2,6,[0. 0. 0. ... 0. 0. 1.]
3105,351.4,84.9,2.9,25,2,6,9,[0. 0. 0. ... 0. 0. 1.]
3108,504.6,145.0,0.7,36,4,12,12,[1. 0. 1. ... 0. 0. 1.]
3114,339.5,59.2,3.2,25,1,3,8,[1. 0. 0. ... 1. 1. 1.]
3117,296.5,121.0,3.9,16,0,4,7,[0. 1. 0. ... 0. 0. 1.]
3121,144.21,37.3,2.8,10,1,2,5,[0. 0. 0. ... 0. 0. 0.]
3151,425.9,67.9,3.9,30,2,3,5,[1. 0. 0. ... 0. 1. 1.]
3152,379.5,38.8,4.3,28,0,4,6,[1. 1. 0. ... 0. 0. 1.]
3154,324.4,151.0,0.4,19,2,7,3,[0. 1. 1. ... 1. 1. 1.]
3156,378.5,32.8,3.3,28,0,3,6,[0. 0. 1. ... 1. 1. 1.]
3157,451.5,112.0,2.5,33,1,9,4,[1. 0. 0. ... 0. 1. 1.]
3158,279.4,12.5,4.3,21,0,2,3,[1. 1. 0. ... 0. 0. 1.]
3168,379.4,52.6,3.5,28,1,4,6,[1. 0. 0. ... 0. 1. 1.]
3182,254.24,98.9,-1.8,18,2,5,3,[1. 1. 0. ... 0. 0. 1.]
3198,381.7,27.0,5.3,24,0,2,6,[0. 0. 0. ... 0. 0. 0.]
3202,166.24,20.2,1.8,12,1,1,2,[0. 0. 0. ... 0. 0. 1.]
3219,302.4,33.5,2.2,22,0,4,5,[1. 0. 1. ... 1. 1. 1.]
3226,184.49,9.2,2.1,10,0,6,3,[0. 0. 0. ... 0. 0. 0.]
3241,249.31,41.6,3.5,19,1,1,0,[1. 1. 0. ... 0. 0. 1.]
3261,294.74,43.1,1.7,21,0,3,1,[1. 0. 1. ... 1. 1. 1.]
3278,303.13,63.6,3.8,19,1,4,6,[0. 1. 0. ... 0. 0. 0.]
3279,204.31,64.5,-0.1,14,4,4,9,[0. 0. 0. ... 0. 1. 1.]
3291,141.17,46.2,0.4,10,1,2,1,[0. 1. 0. ... 0. 0. 1.]
3292,204.22,49.4,1.0,15,1,2,2,[0. 0. 0. ... 0. 0. 1.]
3305,206.03,135.0,-3.7,11,5,7,2,[0. 0. 1. ... 0. 0. 1.]
3308,287.35,62.3,2.8,21,2,3,4,[1. 0. 0. ... 0. 1. 1.]
3324,321.33,122.0,0.0,23,1,8,9,[1. 0. 0. ... 0. 0. 0.]
3331,238.24,105.0,0.6,17,2,4,7,[0. 1. 0. ... 0. 0. 1.]
3333,384.2,64.599,3.9,25,1,5,6,[0. 0. 1. ... 1. 1. 1.]
3339,360.8,52.6,5.2,25,0,4,7,[0. 0. 1. ... 0. 0. 0.]
3340,306.76,77.3,2.4,21,4,3,1,[0. 1. 0. ... 0. 1. 1.]
3342,242.27,46.5,3.3,18,1,3,4,[0. 0. 0. ... 0. 0. 1.]
3345,336.5,23.6,4.0,25,0,2,6,[0. 0. 1. ... 0. 1. 1.]
3348,501.7,81.0,3.0,37,3,5,10,[0. 0. 1. ... 0. 1. 1.]
3354,391.5,55.8,4.3,29,0,5,6,[0. 1. 0. ... 1. 0. 1.]
3355,415.35,64.2,3.8,28,2,10,7,[0. 1. 0. ... 0. 1. 1.]
3364,453.9,138.0,2.6,30,2,8,4,[1. 1. 1. ... 0. 1. 1.]
3365,306.27,81.6,0.4,22,1,7,5,[0. 0. 0. ... 1. 1. 0.]
3366,129.09,67.5,-0.9,9,2,3,0,[1. 0. 0. ... 0. 0. 1.]
3372,437.5,55.2,4.4,30,1,8,6,[1. 0. 1. ... 1. 1. 1.]
3373,303.29,64.4,1.0,22,0,5,3,[1. 1. 0. ... 0. 1. 1.]
3380,313.28,78.5,2.1,23,0,5,1,[1. 0. 1. ... 0. 0. 1.]
3385,130.08,58.2,-0.9,9,2,3,0,[1. 0. 0. ... 0. 0. 1.]
3386,309.33,21.3,4.0,22,1,5,6,[1. 0. 0. ... 0. 0. 1.]
3388,591.8,61.3,9.0,41,0,9,16,[1. 0. 1. ... 1. 1. 1.]
3393,387.9,35.9,3.0,27,0,4,6,[1. 0. 1. ... 0. 0. 1.]
3394,244.26,37.3,4.2,18,1,3,3,[0. 1. 0. ... 0. 0. 0.]
3397,276.21,74.9,3.3,19,1,6,2,[1. 0. 0. ... 0. 0. 1.]
3406,82.1,28.7,1.4,6,1,1,0,[1. 0. 0. ... 0. 0. 0.]
3410,344.4,90.8,1.8,25,4,5,8,[0. 1. 0. ... 0. 0. 1.]
3414,122.98,103.0,-1.3,7,0,5,0,[0. 0. 0. ... 0. 0. 0.]
3440,330.74,131.0,2.0,21,3,7,5,[0. 0. 1. ... 0. 1. 1.]
3446,171.24,63.3,-1.1,12,2,3,3,[0. 0. 0. ... 0. 0. 1.]
3463,250.33,46.5,3.8,18,1,3,6,[0. 0. 0. ... 0. 0. 0.]
3467,477.6,200.0,-4.1,33,8,12,7,[1. 0. 0. ... 0. 0. 1.]
3475,323.4,86.9,1.5,22,2,4,3,[0. 0. 1. ... 0. 1. 1.]
3476,490.6,133.0,3.9,34,3,5,7,[0. 1. 1. ... 0. 1. 1.]
3478,445.5,139.0,1.9,31,3,6,7,[1. 1. 1. ... 0. 0. 1.]
3488,494.0,122.0,4.8,33,3,5,8,[0. 1. 1. ... 0. 0. 1.]
3494,318.4,46.5,3.1,23,1,3,5,[1. 1. 1. ... 0. 1. 1.]
3510,312.4,50.2,2.8,23,1,3,2,[1. 0. 1. ... 1. 1. 1.]
3516,198.22,58.9,1.4,14,2,4,5,[0. 0. 0. ... 0. 0. 0.]
3517,231.08,76.8,1.7,14,2,2,2,[1. 1. 0. ... 0. 0. 1.]
3519,246.09,81.5,2.0,15,2,1,2,[0. 0. 0. ... 0. 0. 1.]
3520,59.07,75.9,-1.3,4,3,1,0,[0. 0. 0. ... 0. 0. 1.]
3559,375.9,40.5,3.2,26,1,4,6,[0. 0. 0. ... 0. 0. 1.]
3598,406.9,40.5,7.5,21,2,2,2,[1. 0. 0. ... 0. 0. 0.]
3623,275.34,49.8,1.9,20,1,4,4,[0. 1. 0. ... 0. 0. 1.]
3637,160.18,63.8,0.7,12,2,4,1,[1. 0. 1. ... 0. 0. 0.]
3639,297.7,135.0,-0.1,17,3,7,1,[0. 0. 1. ... 0. 0. 1.]
3647,331.3,135.0,0.4,20,3,10,1,[1. 0. 1. ... 0. 1. 1.]
3652,335.9,48.4,3.6,23,2,4,9,[1. 0. 0. ... 0. 0. 1.]
3657,76.055,75.4,-1.8,5,3,2,0,[0. 0. 0. ... 0. 0. 1.]
3658,374.9,35.9,3.7,26,1,4,8,[0. 0. 0. ... 0. 0. 1.]
3661,289.4,49.8,1.8,21,1,4,5,[0. 1. 1. ... 0. 0. 1.]
3672,206.28,37.3,3.5,15,1,2,4,[0. 0. 0. ... 0. 0. 0.]
3675,136.19,38.0,1.2,10,2,2,3,[0. 0. 0. ... 0. 0. 1.]
3676,234.34,32.299,2.3,17,1,2,5,[0. 0. 0. ... 0. 0. 1.]
3690,261.079,41.6,0.9,14,1,4,5,[0. 0. 0. ... 1. 0. 1.]
3696,280.4,6.5,4.8,21,0,2,4,[0. 0. 1. ... 0. 1. 1.]
3702,365.8,101.0,2.9,24,2,5,3,[1. 1. 1. ... 1. 1. 1.]
3715,357.8,68.5,4.3,25,1,4,4,[1. 0. 0. ... 0. 1. 0.]
3724,1550.2,339.0,-3.4,62,13,15,22,[0. 1. 1. ... 0. 1. 1.]
3730,821.1,200.0,-3.0,34,8,9,12,[0. 1. 0. ... 0. 1. 1.]
3736,791.1,169.0,-2.1,32,6,8,11,[0. 1. 0. ... 0. 1. 1.]
3737,613.91,95.5,1.9,20,3,4,3,[0. 1. 0. ... 0. 1. 1.]
3738,1626.2,400.0,-4.2,67,16,18,24,[0. 1. 1. ... 0. 1. 1.]
3739,1139.8,133.0,5.5,34,4,6,9,[0. 1. 0. ... 0. 0. 1.]
3741,807.1,200.0,-3.0,33,8,9,12,[0. 1. 0. ... 0. 1. 1.]
3742,1268.9,194.0,2.8,43,6,8,10,[0. 1. 0. ... 0. 1. 1.]
3743,791.1,180.0,-2.4,32,7,8,11,[0. 1. 0. ... 0. 1. 1.]
3746,332.5,46.5,2.6,24,1,3,6,[0. 1. 1. ... 0. 0. 1.]
3749,428.5,87.1,4.1,32,1,5,7,[0. 1. 1. ... 0. 0. 1.]
3759,231.25,67.2,1.5,17,2,4,4,[1. 0. 0. ... 1. 1. 1.]
3763,184.49,9.2,2.1,10,0,6,2,[0. 0. 0. ... 0. 0. 0.]
3767,137.14,68.0,-0.7,10,2,3,1,[1. 1. 0. ... 0. 0. 1.]
3779,211.26,72.7,-0.6,15,4,4,4,[0. 0. 0. ... 0. 0. 1.]
3783,301.4,61.7,2.8,22,3,4,7,[0. 0. 0. ... 0. 0. 1.]
3784,371.4,104.0,4.3,27,1,8,6,[1. 0. 1. ... 1. 0. 1.]
3821,237.72,29.1,2.2,16,1,2,2,[0. 0. 0. ... 1. 0. 1.]
3825,254.28,54.4,3.1,19,1,3,4,[0. 0. 0. ... 0. 0. 0.]
3826,255.27,59.3,1.9,19,1,3,3,[1. 0. 0. ... 1. 1. 0.]
3827,309.4,48.6,3.2,22,0,3,0,[1. 1. 0. ... 0. 1. 1.]
3830,215.21,79.6,1.0,16,2,5,3,[1. 0. 0. ... 1. 1. 1.]
3848,166.17,57.5,1.1,12,2,3,3,[0. 0. 0. ... 0. 0. 0.]
3869,328.4,95.6,3.1,24,4,4,8,[0. 1. 0. ... 1. 0. 1.]
3878,256.089,90.7,1.4,16,2,5,1,[0. 1. 0. ... 0. 1. 0.]
3883,369.4,87.1,2.8,25,1,8,5,[1. 0. 0. ... 0. 1. 0.]
3899,270.21,55.1,2.5,19,1,6,2,[1. 1. 0. ... 0. 1. 1.]
3902,285.3,78.3,2.7,22,0,4,3,[0. 0. 0. ... 1. 0. 0.]
3939,24.0,1.0,0.0,2,1,1,0,[0. 0. 0. ... 0. 0. 0.]
3948,351.35,72.9,-0.8,25,2,8,3,[1. 1. 1. ... 0. 0. 1.]
3950,233.69,61.8,2.8,15,1,3,3,[0. 0. 0. ... 0. 1. 1.]
3954,478.0,45.0,5.0,34,2,2,7,[0. 0. 1. ... 1. 1. 1.]
3957,382.9,42.4,5.2,27,0,3,2,[1. 1. 0. ... 0. 0. 1.]
3958,321.2,61.7,2.4,21,2,3,1,[1. 1. 1. ... 0. 0. 1.]
3961,422.9,92.5,4.3,30,2,5,8,[0. 1. 0. ... 0. 0. 0.]
3964,327.8,28.1,3.1,23,0,3,1,[1. 0. 1. ... 0. 0. 1.]
3998,186.23,94.6,-0.7,12,2,4,2,[0. 0. 1. ... 0. 0. 1.]
4004,330.4,128.0,2.4,19,0,8,11,[1. 0. 1. ... 0. 0. 0.]
4011,277.4,12.0,4.6,21,1,1,4,[0. 1. 0. ... 0. 1. 1.]
4030,295.29,84.1,2.8,22,2,4,4,[1. 0. 0. ... 0. 0. 1.]
4031,429.5,57.2,5.2,31,0,6,14,[0. 0. 0. ... 0. 0. 1.]
4032,167.29,12.0,2.6,12,1,1,1,[0. 0. 1. ... 0. 0. 1.]
4033,156.05,3.2,0.9,8,0,1,4,[0. 0. 0. ... 0. 0. 1.]
4034,390.9,6.5,5.8,28,0,2,5,[0. 0. 0. ... 0. 0. 1.]
4036,295.1,52.2,5.8,19,1,3,2,[0. 0. 0. ... 0. 0. 1.]
4044,241.28,49.3,5.1,18,2,3,3,[0. 0. 0. ... 0. 0. 1.]
4051,373.4,139.0,0.0,24,1,7,2,[0. 1. 1. ... 0. 0. 1.]
4054,179.3,26.0,3.3,13,1,1,0,[0. 0. 0. ... 0. 0. 1.]
4057,340.4,46.5,3.2,25,1,3,5,[0. 1. 0. ... 0. 1. 1.]
4058,247.33,29.5,2.5,18,0,3,4,[0. 0. 1. ... 0. 0. 1.]
4060,218.25,49.4,1.5,16,1,2,2,[0. 1. 0. ... 1. 1. 1.]
4062,246.35,32.299,1.9,18,1,2,2,[0. 0. 0. ... 0. 0. 1.]
4064,218.25,105.0,0.7,15,2,4,8,[0. 0. 0. ... 0. 0. 1.]
4075,153.14,83.6,1.3,11,3,4,1,[0. 0. 0. ... 0. 0. 0.]
4086,211.26,72.7,0.7,15,4,4,4,[0. 0. 0. ... 0. 0. 1.]
4091,129.16,91.5,-1.3,9,3,1,2,[0. 0. 0. ... 0. 0. 1.]
4095,309.4,20.3,3.9,23,0,2,7,[0. 0. 0. ... 0. 1. 1.]
4100,236.3,139.0,0.1,14,1,6,1,[1. 0. 1. ... 1. 1. 1.]
4101,140.19,13.0,0.3,10,0,4,0,[0. 0. 0. ... 0. 1. 1.]
4107,241.24,91.0,0.6,17,2,5,7,[0. 0. 0. ... 0. 0. 1.]
4114,216.19,48.7,1.9,16,0,4,1,[0. 1. 0. ... 1. 0. 0.]
4120,318.4,59.1,1.3,23,1,4,5,[1. 1. 1. ... 0. 0. 1.]
4121,360.2,126.0,1.4,20,2,7,2,[0. 0. 1. ... 0. 0. 1.]
4139,284.4,43.9,2.2,20,0,3,1,[1. 1. 1. ... 0. 1. 1.]
4158,233.31,38.3,0.2,17,1,3,4,[0. 0. 1. ... 0. 1. 1.]
4168,299.79,67.6,2.6,20,2,4,7,[0. 1. 1. ... 0. 0. 1.]
4170,365.8,101.0,4.1,24,2,5,2,[0. 1. 1. ... 1. 1. 1.]
4171,267.36,50.7,1.9,19,2,4,9,[0. 0. 0. ... 0. 0. 1.]
4173,171.15,83.9,0.0,12,1,4,2,[0. 0. 1. ... 0. 0. 0.]
4174,226.27,42.8,2.0,17,0,3,3,[1. 0. 0. ... 0. 1. 0.]
4178,179.26,35.2,2.1,13,1,2,3,[0. 0. 0. ... 0. 0. 1.]
4184,264.4,6.5,3.4,20,0,2,0,[0. 1. 1. ... 0. 1. 1.]
4189,416.1,27.0,5.3,25,0,2,6,[0. 0. 0. ... 0. 0. 0.]
4192,325.8,30.2,2.5,23,0,3,1,[1. 0. 1. ... 0. 1. 1.]
4195,254.28,93.8,-0.6,18,3,5,6,[0. 0. 0. ... 0. 0. 1.]
4197,211.22,65.8,0.0,16,1,3,1,[1. 1. 0. ... 0. 0. 1.]
4201,209.25,88.9,1.2,15,3,3,1,[1. 1. 1. ... 1. 0. 1.]
4205,265.35,19.4,3.3,20,0,3,0,[1. 1. 1. ... 0. 1. 1.]
4211,320.0,0.0,6.2,18,0,0,3,[0. 0. 0. ... 0. 1. 0.]
4212,444.5,163.0,1.0,32,8,10,12,[1. 1. 0. ... 0. 0. 1.]
4235,268.74,41.6,1.5,18,1,3,4,[0. 1. 0. ... 0. 0. 1.]
4236,273.4,79.4,1.7,19,1,3,5,[1. 0. 0. ... 0. 0. 1.]
4253,285.34,52.9,0.8,21,2,4,0,[1. 0. 1. ... 1. 1. 1.]
4274,382.5,36.9,0.5,24,0,4,19,[0. 0. 0. ... 0. 0. 0.]
4409,228.29,26.3,3.1,17,0,2,4,[0. 0. 0. ... 0. 0. 0.]
4421,232.23,70.5,1.4,17,1,5,2,[1. 0. 0. ... 0. 0. 1.]
4436,210.27,24.4,2.1,16,1,1,2,[0. 0. 0. ... 0. 0. 1.]
4440,335.5,73.6,2.0,23,2,4,5,[1. 0. 1. ... 0. 0. 1.]
4449,470.0,51.6,4.3,33,0,5,10,[0. 0. 1. ... 1. 1. 1.]
4450,253.34,12.5,2.9,19,0,2,1,[0. 1. 0. ... 0. 0. 1.]
4454,614.6,353.0,-9.0,42,13,19,9,[1. 0. 0. ... 0. 0. 1.]
4456,223.29,29.5,1.5,16,0,2,3,[0. 0. 0. ... 0. 0. 1.]
4463,266.3,58.1,2.0,20,1,4,1,[1. 1. 1. ... 0. 1. 1.]
4473,480.5,115.0,3.8,35,2,7,10,[0. 0. 1. ... 1. 0. 1.]
4485,346.3,110.0,2.2,25,1,7,5,[0. 0. 1. ... 1. 0. 1.]
4493,317.22,95.2,2.0,22,1,7,1,[1. 1. 0. ... 0. 0. 1.]
4497,418.4,120.0,3.1,30,1,8,9,[0. 0. 1. ... 1. 0. 1.]
4499,388.4,110.0,3.3,28,1,7,7,[0. 0. 1. ... 1. 0. 1.]
4506,281.27,87.3,2.2,21,1,4,1,[1. 0. 1. ... 0. 0. 1.]
4510,227.09,165.0,1.6,15,0,9,5,[0. 0. 0. ... 0. 0. 0.]
4539,319.33,72.9,-1.0,23,2,7,3,[1. 0. 0. ... 0. 0. 1.]
4543,263.4,12.0,4.5,20,1,1,3,[0. 1. 0. ... 0. 0. 1.]
4583,361.4,73.3,-0.4,26,1,8,2,[1. 1. 0. ... 1. 0. 1.]
4594,345.4,96.3,2.2,24,1,6,5,[1. 0. 0. ... 0. 1. 0.]
4595,293.4,39.8,2.3,22,0,2,2,[1. 1. 0. ... 0. 1. 0.]
4601,269.4,12.5,3.8,20,0,2,6,[0. 1. 0. ... 0. 0. 1.]
4609,397.29,76.6,0.0,15,4,6,0,[0. 0. 0. ... 0. 0. 1.]
4614,293.3,63.3,4.2,22,1,4,5,[0. 1. 0. ... 0. 1. 1.]
4616,286.71,61.7,2.2,20,2,3,1,[1. 1. 1. ... 0. 0. 1.]
4631,265.35,50.7,2.1,19,2,4,9,[0. 0. 0. ... 1. 0. 1.]
4634,357.5,49.8,4.2,26,1,4,8,[1. 1. 1. ... 0. 1. 1.]
4649,153.14,83.6,1.3,11,3,4,1,[0. 0. 0. ... 0. 0. 1.]
4673,279.03,167.0,0.0,15,4,8,4,[0. 0. 1. ... 0. 0. 1.]
4679,383.4,106.0,2.4,26,1,9,7,[1. 0. 0. ... 1. 1. 0.]
4680,339.4,49.8,3.9,25,0,5,6,[1. 1. 0. ... 0. 0. 0.]
4695,545.7,132.0,3.6,37,2,7,9,[0. 0. 0. ... 0. 1. 1.]
4735,340.4,118.0,2.6,25,4,4,10,[1. 0. 0. ... 0. 0. 1.]
4737,226.27,75.3,2.1,16,2,3,4,[0. 1. 1. ... 0. 1. 1.]
4740,278.31,75.5,0.3,20,0,4,5,[1. 1. 1. ... 0. 1. 1.]
4746,277.5,12.0,6.8,20,1,1,4,[0. 0. 0. ... 0. 0. 1.]
4747,365.5,75.8,3.5,26,1,5,4,[0. 0. 1. ... 1. 1. 1.]
4748,404.0,55.2,4.2,27,1,5,6,[0. 0. 1. ... 1. 1. 1.]
4756,213.24,89.6,1.9,16,2,5,2,[1. 0. 1. ... 0. 0. 0.]
4763,232.23,75.3,1.5,17,2,3,2,[0. 1. 1. ... 1. 1. 1.]
4768,303.8,12.5,4.4,21,0,2,8,[0. 0. 0. ... 0. 0. 1.]
4771,149.23,26.0,1.9,11,1,1,2,[0. 0. 0. ... 0. 0. 1.]
4775,164.2,37.3,2.4,12,1,2,4,[0. 0. 0. ... 0. 0. 0.]
4810,241.68,71.4,0.6,16,2,4,3,[1. 0. 0. ... 0. 0. 1.]
4828,248.32,57.3,1.8,18,3,3,6,[1. 0. 0. ... 0. 0. 1.]
4829,356.4,93.6,3.8,25,1,5,7,[1. 0. 0. ... 0. 0. 1.]
4845,240.3,85.6,-0.1,17,4,5,5,[1. 0. 0. ... 0. 0. 1.]
4870,439.9,152.0,2.6,25,2,11,4,[1. 0. 1. ... 0. 0. 1.]
4891,312.4,40.6,2.7,23,0,2,1,[0. 1. 0. ... 0. 1. 1.]
4893,383.4,107.0,2.0,28,1,8,4,[1. 1. 0. ... 1. 1. 1.]
4896,440.4,141.0,0.0,30,4,8,4,[1. 0. 0. ... 0. 0. 0.]
4906,220.31,41.1,2.1,16,2,2,5,[0. 0. 0. ... 0. 0. 1.]
4908,259.35,60.2,2.2,19,2,4,6,[1. 0. 0. ... 0. 0. 1.]
4909,218.25,58.2,0.9,16,2,2,2,[0. 0. 1. ... 1. 1. 1.]
4911,285.36,83.1,3.2,19,1,5,7,[0. 0. 1. ... 0. 0. 1.]
4913,235.33,58.4,0.9,17,2,3,6,[0. 1. 0. ... 0. 0. 1.]
4914,236.31,55.6,1.9,17,1,4,7,[0. 0. 0. ... 0. 0. 1.]
4915,221.3,53.2,0.1,16,3,3,5,[0. 1. 0. ... 0. 0. 1.]
4917,373.9,35.0,4.9,25,0,4,4,[0. 0. 1. ... 1. 1. 1.]
4927,284.4,31.8,4.8,20,0,3,3,[0. 0. 0. ... 1. 1. 1.]
4932,341.4,58.6,3.3,25,2,4,11,[0. 0. 0. ... 0. 0. 1.]
4934,368.5,35.5,4.2,27,0,3,7,[1. 0. 0. ... 0. 1. 1.]
4935,294.39,64.8,2.7,21,1,5,10,[0. 0. 0. ... 0. 0. 1.]
4943,178.27,20.2,3.8,13,1,1,2,[0. 0. 0. ... 0. 0. 1.]
4946,259.339,41.5,3.0,19,2,3,6,[0. 0. 0. ... 0. 0. 1.]
4976,263.4,12.0,4.4,20,1,1,4,[0. 1. 0. ... 0. 1. 1.]
4991,181.21,33.4,0.7,13,0,2,2,[1. 0. 0. ... 0. 0. 1.]
4992,285.4,28.6,3.3,21,0,4,7,[1. 0. 0. ... 0. 0. 1.]
4993,248.71,77.8,2.7,17,2,4,2,[1. 1. 0. ... 0. 1. 1.]
4999,386.8,47.7,4.0,25,0,6,2,[1. 0. 1. ... 0. 0. 1.]
5002,383.5,73.6,2.1,27,1,5,6,[1. 1. 0. ... 0. 0. 1.]
5029,359.4,96.3,1.9,25,1,6,8,[1. 0. 0. ... 0. 1. 0.]
5035,473.6,98.2,6.1,34,2,6,7,[1. 1. 0. ... 0. 1. 1.]
5070,234.2,76.4,3.6,15,1,7,1,[1. 0. 0. ... 0. 0. 0.]
5071,179.3,26.0,2.6,13,1,1,1,[0. 0. 1. ... 0. 0. 1.]
5073,410.5,61.9,2.7,30,0,6,4,[1. 0. 1. ... 1. 0. 1.]
5078,269.34,49.7,1.7,20,1,3,5,[1. 0. 0. ... 1. 0. 1.]
5090,314.4,68.8,2.3,22,0,4,3,[0. 0. 0. ... 0. 1. 0.]
5095,260.37,32.299,2.7,19,1,2,7,[0. 0. 0. ... 0. 0. 1.]
5152,415.6,82.0,3.9,30,4,5,16,[0. 0. 0. ... 1. 0. 1.]
5161,258.23,83.8,3.0,19,2,5,4,[0. 0. 0. ... 0. 0. 0.]
5184,303.35,62.3,0.9,22,1,5,5,[1. 1. 1. ... 0. 0. 1.]
5193,238.28,75.3,2.0,17,2,3,5,[0. 1. 1. ... 0. 1. 1.]
5206,200.05,9.2,2.8,12,0,8,2,[0. 0. 0. ... 0. 0. 0.]
5210,279.8,3.2,5.4,19,0,1,5,[0. 0. 0. ... 0. 0. 1.]
